strategy,seed,period,target,start_step,end_step,steps,cost,carbon_kg,peak_kw,controller_peak_kw,mean_action,idle_fraction,end_mean_soc
fixed_carbon,44,full,all,0,8758,8759,4763.685960551578,4726.623455760433,16.451216459274292,15.295783281326294,0.025128439319557026,0.3888571754766526,0.5627775907516479
fixed_carbon,44,stage_1,cost_priority,0,2999,3000,1787.0565287175368,1558.1522401434622,16.333150267601013,14.217733025550842,0.0285,0.37166666666666665,0.6337077617645264
fixed_carbon,44,stage_2,low_carbon_priority,3000,5999,3000,1989.2200797640644,1721.6796761144558,16.451216459274292,15.295783281326294,0.022600000000000006,0.404,0.9476025223731994
fixed_carbon,44,stage_3,peak_aware,6000,8758,2759,987.4093520699766,1446.791539502515,14.735850095748901,13.558783292770386,0.0242116708952519,0.3910837259876767,0.5627775907516479
