switch_step,window,start_step,end_step,steps,dominant_scenario,mean_action,charge_frac,discharge_frac,zero_frac,mean_prior_action,mean_score,mean_pricing_norm,mean_carbon_norm,mean_planning_time_seconds
3000,before,2952,2999,48,cost_priority,0.04791666666666667,0.6875,0.20833333333333334,0.10416666666666667,0.03333333333333333,0.2148067177913026,0.18308080808080807,0.25358282965968487,0.6435956060886383
3000,after,3000,3047,48,low_carbon_priority,0.052083333333333336,0.7291666666666666,0.20833333333333334,0.0625,0.03541666666666667,0.22491833339077494,0.18308080808080807,0.2635375875230522,0.6478071610132853
6000,before,5952,5999,48,low_carbon_priority,0.012499999999999999,0.3333333333333333,0.20833333333333334,0.4583333333333333,-0.014583333333333335,0.30764524295364476,0.18308080808080807,0.4226277982208786,1.239959289630254
6000,after,6000,6047,48,peak_aware,0.03958333333333334,0.6041666666666666,0.20833333333333334,0.1875,0.012499999999999999,0.23667306270410715,0.18308080808080807,0.29026531732740624,1.2407706032196681
