strategy,seed,period,target,start_step,end_step,steps,cost,carbon_kg,peak_kw,controller_peak_kw,mean_action,idle_fraction,end_mean_soc
fixed_carbon,42,full,all,0,8758,8759,4754.098365269283,4737.574262059097,16.451216459274292,15.295783281326294,0.024534764242493436,0.3874871560680443,0.19521340429782869
fixed_carbon,42,stage_1,cost_priority,0,2999,3000,1792.7240528056213,1558.6046830195494,15.268349409103394,14.217733025550842,0.02646666666666667,0.382,0.7898308038711548
fixed_carbon,42,stage_2,low_carbon_priority,3000,5999,3000,1978.3665077352111,1726.2257868362703,16.451216459274292,15.295783281326294,0.021633333333333334,0.4003333333333333,0.6848821401596069
fixed_carbon,42,stage_3,peak_aware,6000,8758,2759,983.0078047284505,1452.7437922032777,14.735850095748901,13.558783292770386,0.02558898151504168,0.37948532076839436,0.19521340429782869
