strategy,seed,period,target,start_step,end_step,steps,cost,carbon_kg,peak_kw,controller_peak_kw,mean_action,idle_fraction,end_mean_soc
dynamic,42,full,all,0,8758,8759,4731.7356723771045,4746.091332299416,16.451216459274292,15.295783281326294,0.02596186779312707,0.3681927160634776,0.5618548154830932
dynamic,42,stage_1,cost_priority,0,2999,3000,1766.8378862814063,1562.1374011124776,15.268349409103394,14.217733025550842,0.03023333333333333,0.3343333333333333,0.7008227705955505
dynamic,42,stage_2,low_carbon_priority,3000,5999,3000,1978.4416066216218,1726.638353290583,16.451216459274292,15.295783281326294,0.021666666666666667,0.3993333333333333,0.6848519086837769
dynamic,42,stage_3,peak_aware,6000,8758,2759,986.4561794740769,1457.3155778963544,14.735850095748901,13.558783292770386,0.025987676694454512,0.37114896701703515,0.5618548154830932
