strategy,seed,period,target,start_step,end_step,steps,cost,carbon_kg,peak_kw,controller_peak_kw,mean_action,idle_fraction,end_mean_soc
fixed_cost,44,full,all,0,8758,8759,4721.964615326419,4768.785788753801,17.795783281326294,17.795783281326294,0.030996689119762524,0.3272063020892796,0.562734055519104
fixed_cost,44,stage_1,cost_priority,0,2999,3000,1760.6678557796972,1564.9501973160782,16.333150267601013,14.217733025550842,0.031599999999999996,0.3313333333333333,0.7036929488182068
fixed_cost,44,stage_2,low_carbon_priority,3000,5999,3000,1978.9868792614534,1743.3804945430666,17.795783281326294,17.795783281326294,0.030933333333333334,0.31066666666666665,0.7903650879859925
fixed_cost,44,stage_3,peak_aware,6000,8758,2759,982.3098802852691,1460.455096894657,14.680066704750061,13.558783292770386,0.03040956868430591,0.340703153316419,0.562734055519104
