seed,period,target,fixed_strategy,cost_delta,cost_delta_pct,carbon_kg_delta,carbon_kg_delta_pct,peak_kw_delta,peak_kw_delta_pct,controller_peak_kw_delta,controller_peak_kw_delta_pct
42,full,all,fixed_carbon,-22.36269289217853,-0.47038767762037786,8.51707024031839,0.17977702869013404,0.0,0.0,0.0,0.0
42,stage_1,cost_priority,fixed_carbon,-25.886166524214786,-1.4439571156365543,3.532718092928235,0.22665901953304501,0.0,0.0,0.0,0.0
42,stage_2,low_carbon_priority,fixed_carbon,0.07509888641038742,0.0037960047401105123,0.4125664543125822,0.023899912598844376,0.0,0.0,0.0,0.0
42,stage_3,peak_aware,fixed_carbon,3.4483747456263245,0.35079830791159544,4.57178569307689,0.3147000673906288,0.0,0.0,0.0,0.0
42,full,all,fixed_cost,5.635469561592799,0.11924143204233255,-16.771984422496644,-0.35214078816018024,0.0,0.0,0.0,0.0
42,stage_1,cost_priority,fixed_cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,stage_2,low_carbon_priority,fixed_cost,1.1289515228868368,0.057095245912461116,-9.233105191945242,-0.5319002825253363,0.0,0.0,0.0,0.0
42,stage_3,peak_aware,fixed_cost,4.506518038705735,0.45893574952898347,-7.5388792305525385,-0.5146503936875014,0.05578339099884033,0.3799941248277188,0.0,0.0
42,full,all,fixed_peak,-23.72737121022874,-0.4989497551079642,-1.4329925832471417,-0.030183996651403335,0.0,0.0,0.0,0.0
42,stage_1,cost_priority,fixed_peak,-22.805924029559037,-1.2743275448535383,3.289991931100076,0.21105285300681237,0.0,0.0,0.0,0.0
42,stage_2,low_carbon_priority,fixed_peak,0.6523072197376223,0.03298163358123592,-3.8036519164265883,-0.2198081128972343,0.0,0.0,0.0,0.0
42,stage_3,peak_aware,fixed_peak,-1.5737544004078927,-0.1592820567932121,-0.9193325979213114,-0.06304420442174843,0.0,0.0,0.0,0.0
43,full,all,fixed_carbon,-24.803553735257992,-0.5207291931459478,9.374778631477966,0.1977186724753199,-0.26651620864868164,-1.5942126479869945,-2.4999996423721313,-14.95417884728464
43,stage_1,cost_priority,fixed_carbon,-19.74524010650839,-1.1078231694764993,6.337566332099414,0.4065109795901655,-0.38458240032196045,-2.3004459274544753,-2.4999996423721313,-14.95417884728464
43,stage_2,low_carbon_priority,fixed_carbon,0.5165275730907979,0.02599669450061223,1.095539753573803,0.06331917305886522,0.0,0.0,1.3708672523498535,10.672242130653082
43,stage_3,peak_aware,fixed_carbon,-5.574841201840172,-0.5608538574982852,1.9416725458042947,0.1336989280738367,1.5899335145950335,10.789560861871882,0.0,0.0
43,full,all,fixed_cost,16.608351382842557,0.3517360143976309,-19.64191680523072,-0.4117379062399504,-1.344566822052002,-7.555536054784959,-3.5780502557754517,-20.10616896829722
43,stage_1,cost_priority,fixed_cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,stage_2,low_carbon_priority,fixed_cost,7.2195331671644,0.3645871448658136,-10.97582679872653,-0.6299771872986779,-1.344566822052002,-7.555536054784959,-3.5797497034072876,-20.11571868917755
43,stage_3,peak_aware,fixed_cost,9.388818215678384,0.9589937291732223,-8.666090006504419,-0.5923992004336781,0.0,0.0,0.0,0.0
43,full,all,fixed_peak,0.5870553370050402,0.01239076936721887,0.4921271962539322,0.010359795593826278,0.0,0.0,-1.0780502557754517,-7.048022555939183
43,stage_1,cost_priority,fixed_peak,-7.128023035381375,-0.4027749208660194,4.818452337911367,0.3087694728858928,1.0648008584976196,6.973909425093175,0.0,0.0
43,stage_2,low_carbon_priority,fixed_peak,7.021665489854286,0.3545593786609785,-3.02163347586702,-0.17422747853869433,0.0,0.0,-1.0797497034072876,-7.059133118900092
43,stage_3,peak_aware,fixed_peak,0.6934128825324706,0.070203135724106,-1.3046916657908696,-0.08963757495492483,0.0,0.0,0.0,0.0
44,full,all,fixed_carbon,-34.40275084192035,-0.7221876321573667,10.93502392069513,0.2313495886237435,0.0,0.0,0.0,0.0
44,stage_1,cost_priority,fixed_carbon,-26.3886729378396,-1.476655747245845,6.797957172615952,0.4362832461088687,0.0,0.0,0.0,0.0
44,stage_2,low_carbon_priority,fixed_carbon,-0.5247895566208172,-0.026381674001755548,-0.30520141741749285,-0.017726957090315524,0.0,0.0,0.0,0.0
44,stage_3,peak_aware,fixed_carbon,-7.489288347459819,-0.7584785714009584,4.4422681654964435,0.30704272482986283,0.0,0.0,0.0,0.0
44,full,all,fixed_cost,7.318594383238633,0.15499045375063053,-31.22730907267305,-0.6548272549024162,-1.344566822052002,-7.555536054784959,-2.5,-14.04827177583879
44,stage_1,cost_priority,fixed_cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,stage_2,low_carbon_priority,fixed_cost,9.708410945989954,0.49057480106250506,-22.006019846028266,-1.2622614463629158,-1.344566822052002,-7.555536054784959,-2.5,-14.04827177583879
44,stage_3,peak_aware,fixed_cost,-2.389816562752344,-0.2432854042003859,-9.221289226645467,-0.6313983392062209,0.05578339099884033,0.3799941248277188,0.0,0.0
44,full,all,fixed_peak,0.6965400304234208,0.01473040633662893,0.6963608447267688,0.014700889053908713,0.0,0.0,0.0,0.0
44,stage_1,cost_priority,fixed_peak,-3.4394268072278464,-0.19496698648532285,3.719777983394124,0.23825938422235374,0.0,0.0,0.0,0.0
44,stage_2,low_carbon_priority,fixed_peak,4.136046653522499,0.2084113471017234,-3.0233860884166006,-0.17532996051383773,0.0,0.0,0.0,0.0
44,stage_3,peak_aware,fixed_peak,-7.981587157246395e-05,-8.145140407488436e-06,-3.105025075456069e-05,-2.139575988800292e-06,0.0,0.0,0.0,0.0
