strategy,cost_total_mean,cost_total_std,cost_total_count,carbon_emissions_total_mean,carbon_emissions_total_std,carbon_emissions_total_count,all_time_peak_average_mean,all_time_peak_average_std,all_time_peak_average_count,daily_peak_average_mean,daily_peak_average_std,daily_peak_average_count,combined_score_mean,combined_score_std,combined_score_count
dynamic,0.9541945419360243,0.0011105816461081089,3,1.0279119454347614,0.0015517029398778354,3,0.9840578314179488,0.0,3,1.077804226207753,0.0030836129560438364,3,0.9903537024586483,0.0011829169727335456,3
fixed_carbon,0.954769763304201,0.0010613616396996774,3,1.0256548611991632,0.001787470470508444,3,0.9893718733505481,0.009204190620813518,3,1.0747000017956563,0.0045578507948671205,3,0.9901282683615688,0.002014564726241125,3
fixed_cost,0.9564767359364863,0.00020447072651104406,3,1.032957631307158,0.000802705038998759,3,1.037676217405007,0.04643488437471191,3,1.0901210482763681,0.004699761621360709,3,0.9990130870001407,0.00506706761939867,3
fixed_peak,0.9547846153299622,0.0016175181060138972,3,1.027898450680505,0.0016729928709963407,3,0.9840578314179488,0.0,3,1.0797172015067105,0.004721389326951929,3,0.9906131628465052,0.0014444755186837576,3
