strategy,seed,cost_total,carbon_emissions_total,all_time_peak_average,daily_peak_average,combined_score
dynamic,42,0.9548848831501096,1.0283482130121508,0.9840578314179488,1.0798706392284247,0.990860676414812
fixed_carbon,42,0.9551363803254432,1.0263239705537277,0.9840578314179488,1.076027806298919,0.9900629410374218
fixed_cost,42,0.956294761164935,1.0320527996571642,0.9840578314179488,1.0902679712017609,0.9931621855117394
fixed_peak,42,0.9561595758581444,1.0286218626509989,0.9840578314179488,1.085130398203555,0.9915574304709094
dynamic,43,0.9547853004656012,1.0291988149564664,0.9840578314179488,1.0742598204254197,0.9911986350817252
fixed_carbon,43,0.9555992146367944,1.027011244186807,0.9999999572157467,1.0784465082857528,0.9921747021921954
fixed_cost,43,0.9564374460606656,1.0335841021335512,1.064485410398536,1.085349547910245,1.0019582377272511
fixed_peak,43,0.955191885029442,1.0290880059521434,0.9840578314179488,1.0764498061204844,0.9913317340835084
dynamic,44,0.952913442192362,1.0261888083356667,0.9840578314179488,1.0792822189694145,0.9890017958794076
fixed_carbon,44,0.9535736949503656,1.0236293688569549,0.9840578314179488,1.0696256908022974,0.988147161855089
fixed_cost,44,0.9566980005838585,1.0332359921307588,1.064485410398536,1.0947456257170984,1.0019188377614314
fixed_peak,44,0.9530023851023002,1.0259854834383724,0.9840578314179488,1.077571400196092,0.9889503239850976
