fixed_strategy,period,target,cost_delta_mean,cost_delta_std,cost_delta_count,cost_delta_pct_mean,cost_delta_pct_std,cost_delta_pct_count,carbon_kg_delta_mean,carbon_kg_delta_std,carbon_kg_delta_count,carbon_kg_delta_pct_mean,carbon_kg_delta_pct_std,carbon_kg_delta_pct_count,peak_kw_delta_mean,peak_kw_delta_std,peak_kw_delta_count,peak_kw_delta_pct_mean,peak_kw_delta_pct_std,peak_kw_delta_pct_count,controller_peak_kw_delta_mean,controller_peak_kw_delta_std,controller_peak_kw_delta_count,controller_peak_kw_delta_pct_mean,controller_peak_kw_delta_pct_std,controller_peak_kw_delta_pct_count
fixed_carbon,full,all,-27.189665823118958,6.364817124644075,3,-0.5711015009745641,0.13324350386864298,3,9.608957597497161,1.2258690147019058,3,0.20294842992973247,0.026181004694251574,3,-0.08883873621622722,0.15387320480671482,3,-0.5314042159956648,0.9204191014607973,3,-0.8333332141240438,1.4433754664975182,3,-4.9847262824282135,8.633799182989595,3
fixed_carbon,stage_1,cost_priority,-24.006693189520927,3.699069471903887,3,-1.3428120107862995,0.20416198662427804,3,5.556080532547867,1.7673388478318222,3,0.3564844150773598,0.11341327946758929,3,-0.12819413344065347,0.2220387523514763,3,-0.7668153091514918,1.3281630754720197,3,-0.8333332141240438,1.4433754664975182,3,-4.9847262824282135,8.633799182989595,3
fixed_carbon,stage_2,low_carbon_priority,0.02227896762678938,0.5226641359639463,3,0.001137008412989065,0.026290227611095195,3,0.40096826348963077,0.7004426068924497,3,0.023164042855798025,0.040528075839453996,3,0.0,0.0,3,0.0,0.0,3,0.4569557507832845,0.7914705771674306,3,3.5574140435510273,6.161621866989422,3
fixed_carbon,stage_3,peak_aware,-3.2052516012245555,5.8411757926785555,3,-0.3228447069958827,0.5917009933543343,3,3.6519088014592094,1.4825230976632524,3,0.2518139067647761,0.10236219940556197,3,0.5299778381983445,0.9179485426450504,3,3.5965202872906272,6.2293558680395815,3,0.0,0.0,3,0.0,0.0,3
fixed_cost,full,all,9.854138442557996,5.909549189518659,3,0.208655966730198,0.12519354283932238,3,-22.54707010013347,7.653041188681965,3,-0.47290198310084897,0.1603451200096502,3,-0.8963778813680013,0.776286016655163,3,-5.037024036523306,4.362190775102019,3,-2.0260167519251504,1.8355124619041359,3,-11.38481358137867,10.3143111651073,3
fixed_cost,stage_1,cost_priority,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
fixed_cost,stage_2,low_carbon_priority,6.01896521201373,4.413932890220377,3,0.3040857306135933,0.22298306444247976,3,-14.071650612233347,6.926393794993837,3,-0.8080463053956434,0.3964067551460484,3,-0.8963778813680013,0.776286016655163,3,-5.037024036523306,4.362190775102019,3,-2.0265832344690957,1.8362310748311195,3,-11.387996821672113,10.318349272987255,3
fixed_cost,stage_3,peak_aware,3.835173230543925,5.91794619775297,3,0.39154802483393997,0.6039657338923127,3,-8.475419487900808,0.8572585862718317,3,-0.5794826444424669,0.05943608970748367,3,0.03718892733256022,0.03220655580949061,3,0.25332941655181257,0.21938971025975973,3,0.0,0.0,3,0.0,0.0,3
fixed_peak,full,all,-7.48125861426676,14.06965271728585,3,-0.15727619313470545,0.2959002968719495,3,-0.08150151408881356,1.1748718773990516,3,-0.0017077706678894483,0.02475647102891295,3,0.0,0.0,3,0.0,0.0,3,-0.3593500852584839,0.6224126053719019,3,-2.349340851979728,4.069177719926042,3
fixed_peak,stage_1,cost_priority,-11.124457957389419,10.283186409378395,3,-0.6240231507349602,0.5726848069884002,3,3.9427407508018555,0.7882462182180261,3,0.2526939033716863,0.0504321421065228,3,0.35493361949920654,0.6147630622869453,3,2.3246364750310584,4.026388483881613,3,0.0,0.0,3,0.0,0.0,3
fixed_peak,stage_2,low_carbon_priority,3.9366731210381354,3.189356290439711,3,0.19865078644797926,0.16101090938458032,3,-3.28289049357007,0.4509934728622429,3,-0.18978851731658877,0.026003575826134218,3,0.0,0.0,3,0.0,0.0,3,-0.3599165678024292,0.623393781919616,3,-2.353044372966697,4.075592406442371,3
fixed_peak,stage_3,peak_aware,-0.29347377791566487,1.16171075786176,3,-0.029695688736504536,0.11758773779504078,3,-0.7413517713209785,0.6702930041507081,3,-0.050894639650887356,0.0460362548648765,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
