strategy,seed,period,target,start_step,end_step,steps,cost,carbon_kg,peak_kw,controller_peak_kw,mean_action,idle_fraction,end_mean_soc
dynamic,43,full,all,0,8758,8759,4738.431168214766,4750.848365375374,16.451216459274292,14.217733025550842,0.025436693686493893,0.3766411690832287,0.5604858994483948
dynamic,43,stage_1,cost_priority,0,2999,3000,1762.600593645911,1565.3523655113968,16.333150267601013,14.217733025550842,0.028833333333333332,0.339,0.7892528295516967
dynamic,43,stage_2,low_carbon_priority,3000,5999,3000,1987.413642814544,1731.281991423315,16.451216459274292,14.216033577919006,0.0237,0.387,0.8576539635658265
dynamic,43,stage_3,peak_aware,6000,8758,2759,988.4169317543113,1454.2140084406624,16.325783610343933,13.558783292770386,0.023631750634287785,0.4063066328379848,0.5604858994483948
