strategy,seed,period,target,start_step,end_step,steps,cost,carbon_kg,peak_kw,controller_peak_kw,mean_action,idle_fraction,end_mean_soc
fixed_cost,42,full,all,0,8758,8759,4726.100202815512,4762.863316721912,16.451216459274292,15.295783281326294,0.028884575864824753,0.34170567416371733,0.5619445681571961
fixed_cost,42,stage_1,cost_priority,0,2999,3000,1766.8378862814063,1562.1374011124776,15.268349409103394,14.217733025550842,0.03023333333333333,0.3343333333333333,0.7008227705955505
fixed_cost,42,stage_2,low_carbon_priority,3000,5999,3000,1977.3126550987347,1735.8714584825282,16.451216459274292,15.295783281326294,0.02753333333333333,0.3446666666666667,0.7720573544502258
fixed_cost,42,stage_3,peak_aware,6000,8758,2759,981.949661435371,1464.854457126907,14.680066704750061,13.558783292770386,0.028887277999275096,0.34650235592606016,0.5619445681571961
