strategy,seed,period,target,start_step,end_step,steps,cost,carbon_kg,peak_kw,controller_peak_kw,mean_action,idle_fraction,end_mean_soc
dynamic,44,full,all,0,8758,8759,4729.283209709658,4737.558479681128,16.451216459274292,15.295783281326294,0.026669711154241348,0.37070441831259276,0.5626848220825196
dynamic,44,stage_1,cost_priority,0,2999,3000,1760.6678557796972,1564.9501973160782,16.333150267601013,14.217733025550842,0.031599999999999996,0.3313333333333333,0.7036929488182068
dynamic,44,stage_2,low_carbon_priority,3000,5999,3000,1988.6952902074436,1721.3744746970385,16.451216459274292,15.295783281326294,0.022600000000000006,0.404,0.9475712895393371
dynamic,44,stage_3,peak_aware,6000,8758,2759,979.9200637225167,1451.2338076680114,14.735850095748901,13.558783292770386,0.02573396158028271,0.3773106197897789,0.5626848220825196
