time_step,semantic_scenario_key,semantic_param_path,scenario_name,action_value,prior_action,score,env_reward,planning_time_seconds,method,price_weight,carbon_weight,low_q,high_q,smooth_weight,peak_charge_penalty_weight
28,cost_priority,semantic_params/cost_priority.json,cost_优先,0.1,0.0,0.21280736449866264,-5.697400212287903,0.1438899040222168,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
29,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.22308287217119138,-2.8246667487978954,0.14232397079467773,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
30,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.23032575442058578,-3.102833315730095,0.14894890785217285,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
31,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.2582691387905888,-2.683383345603943,0.14821672439575195,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
32,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.2878885502421363,-0.917683333158493,0.14267492294311523,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
33,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.3156102054734639,-2.2981500923633575,0.4931299686431885,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
34,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.3423178920977949,-0.8090667128562927,0.11988997459411621,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
35,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.37623057310871494,-1.4827501475811005,0.12321805953979492,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
36,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.3878534200102942,-0.11376671493053436,0.12050724029541016,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
37,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.38529590412967457,-0.1198665127158165,0.11681890487670898,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
38,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.3847280331792355,-2.1178503036499023,0.12520694732666016,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
39,cost_priority,semantic_params/cost_priority.json,cost_优先,0.1,0.0,0.39720088789725594,-3.2442333698272705,0.12625408172607422,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
40,cost_priority,semantic_params/cost_priority.json,cost_优先,-0.1,-0.1,0.9341571948980517,-0.6238167062401772,0.12494611740112305,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
41,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,-0.1,0.9264909051391506,-5.02263330668211,0.13306617736816406,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
