strategy,seed,period,target,start_step,end_step,steps,cost,carbon_kg,peak_kw,controller_peak_kw,mean_action,idle_fraction,end_mean_soc
fixed_peak,42,full,all,0,8758,8759,4755.463043587333,4747.524324882663,16.451216459274292,15.295783281326294,0.025904783651101725,0.3728736157095559,0.5618911504745483
fixed_peak,42,stage_1,cost_priority,0,2999,3000,1789.6438103109654,1558.8474091813775,15.268349409103394,14.217733025550842,0.027266666666666665,0.37066666666666664,0.7881834149360657
fixed_peak,42,stage_2,low_carbon_priority,3000,5999,3000,1977.789299401884,1730.4420052070095,16.451216459274292,15.295783281326294,0.02443333333333333,0.377,0.4752273797988892
fixed_peak,42,stage_3,peak_aware,6000,8758,2759,988.0299338744846,1458.2349104942757,14.735850095748901,13.558783292770386,0.026023921710764775,0.3707865168539326,0.5618911504745483
