strategy,seed,period,target,start_step,end_step,steps,cost,carbon_kg,peak_kw,controller_peak_kw,mean_action,idle_fraction,end_mean_soc
fixed_peak,43,full,all,0,8758,8759,4737.844112877761,4750.35623817912,16.451216459274292,15.295783281326294,0.02605320242036762,0.37481447653841765,0.5604900479316711
fixed_peak,43,stage_1,cost_priority,0,2999,3000,1769.7286166812924,1560.5339131734854,15.268349409103394,14.217733025550842,0.027966666666666664,0.365,0.7018079996109009
fixed_peak,43,stage_2,low_carbon_priority,3000,5999,3000,1980.3919773246898,1734.303624899182,16.451216459274292,15.295783281326294,0.025699999999999997,0.3636666666666667,0.8585320949554444
fixed_peak,43,stage_3,peak_aware,6000,8758,2759,987.7235188717789,1455.5187001064533,16.325783610343933,13.558783292770386,0.024356650960492932,0.39760782892352303,0.5604900479316711
